YearsExperience,Salary,EducationLevel
1.1,39343,0
1.3,46205,0
1.5,37731,0
2.0,47877,1
2.2,47869,2
2.9,56642,0
3.0,60150,0
3.2,59890,1
3.2,77334,2
3.7,62882,1
3.9,75861,2
4.0,61373,1
4.5,56957,0
4.9,57081,0
5.1,67222,1
5.3,67938,0
5.9,79234,1
6.0,99665,2
6.8,81363,0
7.1,102407,2
7.9,91738,0
8.2,107890,2
8.7,101302,0
9.0,136574,2
9.5,120374,2
9.6,116141,2
10.3,134630,2
10.5,121872,0
11.0,137500,2
11.5,126856,0
12.0,141641,2
12.3,135675,0
12.9,165450,2
13.5,153335,2
14.0,155722,2
14.5,145045,0
15.0,161466,2
