Data,TempMax,Temp Min,Avg,Td Avg(C),Wilgotność (%),Wiatr kierunek,Wiatr prędkość,Wiatr porywy,Ciśnieni(Hp),opad(mm),snow(cm)
30.05.2023,23.3,12.6,18,6,46.5,NNW,12.5,39.6,1019.1,0,0
29.05.2023,22,8.1,15.9,5.1,52.2,SSE,4.7,32.4,1019.7,0,0
28.05.2023,19.3,8.7,14.2,1.8,44.5,ENE,11,0,1024,0,0
27.05.2023,21.5,6.6,14.6,4.5,54.1,NNW,16.4,32.4,1024.4,0,0
26.05.2023,23.5,13,18.8,11.8,64.4,WNW,12.5,0,1021,0,0
25.05.2023,25.6,12.2,16.6,12.1,78.1,WSW,12.9,50.4,1019.4,0,0
24.05.2023,23.8,15.1,19.6,8.6,50.2,ESE,9.9,21.6,1013,0,0
23.05.2023,23.2,10,17.8,7.3,53.3,ESE,10.2,43.2,1016.1,0,0
22.05.2023,23.5,11,18,6.5,49.2,ESE,10.2,0,1020.9,0,0
21.05.2023,24.3,12.4,18.6,9.8,58.6,E,14.6,0,1024,0,0
20.05.2023,23.2,10.2,15.1,11.4,78.5,ENE,8.1,28.8,1027,0,0
19.05.2023,14,8.2,11.7,7.7,77.4,NNE,12.2,0,1027.4,0.8,0
18.05.2023,13.5,5.6,10,6.6,79.5,NNW,13.8,0,1023.4,2,0
17.05.2023,18,11.4,14.2,10.8,81.9,NNW,11.3,36,1015,9,0
16.05.2023,16.6,10.3,13,10.7,86.1,S,12.5,39.6,1009.2,3,0
15.05.2023,23,12.2,16.2,6.7,57.9,ESE,17,46.8,1013.5,8,0
14.05.2023,22.9,7.5,15.8,5.6,55.1,E,11.4,68.4,1022.7,0,0
13.05.2023,22.3,7.4,15.9,2.8,43.7,E,12.3,50.4,1024.2,0,0
12.05.2023,19.7,6.8,13.9,1.3,44.6,E,20.1,57.6,1022.9,0,0
11.05.2023,18.1,6,12.8,-0.5,41.6,ESE,19.1,46.8,1021.7,0,0
10.05.2023,17.1,4.9,12.2,-0.5,43.6,ESE,16.8,54,1023.1,0,0
09.05.2023,16.2,2.3,10.3,0.2,53.9,ESE,11,39.6,1029.6,0,0
08.05.2023,13.8,2.2,8,1.9,68.1,E,10.2,0,1030.1,0,0
07.05.2023,10.8,5,6.8,4.3,85.1,ENE,19.7,46.8,1023.7,18.9,0
06.05.2023,17.1,5.7,10.1,2.6,61.3,ENE,19.4,43.2,1023.7,0.1,0
05.05.2023,17,6.9,12.9,1.5,47.7,ENE,7.7,36,1023.3,0,0
04.05.2023,16.1,1.7,9.8,0.4,55.6,N,6.9,0,1026.5,0,0
03.05.2023,19.7,6.9,12.4,4.9,62.2,NW,13.4,36,1022.9,1,0
02.05.2023,19.3,6.9,13.2,2.4,50.1,SSE,11.7,28.8,1017.1,0,0
01.05.2023,15.7,3.6,9.7,-0.5,51.5,WNW,12,39.6,1021.5,0,0
30.04.2023,18.5,9,13.2,5.5,63.3,WNW,14.3,43.2,1015.3,0.6,0
29.04.2023,17.3,5.1,10.3,0.6,52.3,ESE,12.9,39.6,1016.6,0,0
28.04.2023,12.3,-0.2,6.6,-1.1,61.6,WSW,7.1,0,1021.1,0,0
27.04.2023,10.2,-0.2,5.9,-0.5,65,W,13.1,43.2,1016.6,0,0
26.04.2023,10.2,4.6,7.5,4.1,81,W,17.9,43.2,1008.8,8,0
25.04.2023,22.6,9.2,13.7,6.9,69.4,WSW,12.2,43.2,1004.2,2.4,0
24.04.2023,22.2,8.5,16.2,4.8,49.8,SE,9,32.4,1007.6,0,0
23.04.2023,21.2,6.9,14.6,2.9,48.7,SE,9,0,1013.5,0,0
22.04.2023,19.4,4.9,13.6,1.9,48,N,6.3,32.4,1016.3,0,0
21.04.2023,19.8,7.5,14.1,0.9,42.5,NE,15.3,36,1020.1,0,0
20.04.2023,19,6.9,11.5,5.6,68.5,NE,12.3,43.2,1019.5,0.9,0
19.04.2023,16.6,6.6,10.8,5.9,74.3,N,14.9,36,1020.1,16.1,0
18.04.2023,15.3,8,10.9,6.8,77.1,NE,17.9,39.6,1024.3,0.2,0
17.04.2023,14.7,6.5,10.3,7,80.8,NNE,12.3,32.4,1020.8,0,0
16.04.2023,12.3,7.4,9.3,6.8,84.7,E,15.6,0,1014.9,0,0
15.04.2023,17,8.3,11.1,7.2,79.5,E,23.4,54,1008.4,5,0
14.04.2023,17,6.6,11.7,5.2,70,E,13.1,0,1007.8,0,0
13.04.2023,16.2,1.6,9.1,4.2,74.4,SW,5.1,61.2,1006.9,0,0
12.04.2023,16.3,7,10.3,5.6,75.3,SSW,11.4,39.6,1009.6,0,0
11.04.2023,18.1,4.7,10.8,5.4,72.1,ESE,9.8,39.6,1018.3,0,0
10.04.2023,16.4,5.3,11.1,6.8,76.6,NNW,7.5,36,1024.5,0,0
09.04.2023,14.3,4.8,9.9,5.4,76.1,N,8,0,1024.1,0.4,0
08.04.2023,13.1,1.7,7.4,2.8,74,E,15,0,1021.7,0,0
07.04.2023,10.6,1.3,4.9,4.2,93.4,N,16.1,32.4,1016.4,8.5,0
06.04.2023,3.6,-1.6,1.9,-5,61.2,N,13.7,43.2,1022.2,0.1,0
05.04.2023,3.6,-5.2,-0.3,-5.4,69.7,WNW,8.6,0,1023.1,0,0
04.04.2023,5.5,-3.4,1.5,-5.8,61,NNW,17.9,50.4,1025.2,0,0
03.04.2023,4.8,-1.4,2.3,-2.9,70.2,N,23,46.8,1021.9,4.7,0
02.04.2023,11.6,3.8,6.6,4.6,88.6,NNW,17.7,0,1006.7,0.6,0
01.04.2023,16,8.4,10.1,7.9,88.3,SW,8.3,39.6,997.9,4.8,0
31.03.2023,14.5,4.7,10.7,6.9,78.4,SW,11,0,1005.4,1.1,0
30.03.2023,11.9,-1.8,5.7,-4.1,51.1,S,9.3,0,1016,0,0
29.03.2023,5.9,-3.9,-0.5,-6.9,63.7,W,17.7,50.4,1020.5,0,0
28.03.2023,6.1,-5.6,0,-4.5,73.4,NW,18.3,54,1011.4,0.6,0
27.03.2023,11,0.8,5.6,2.1,80.1,W,12.2,50.4,1002.4,0,0
26.03.2023,14.6,5.1,8.4,5.1,81.2,WSW,11.7,54,1003,3.2,0
25.03.2023,19.1,7,12.5,8.2,77.8,SW,9.5,36,1003.8,1.7,0
24.03.2023,20,5.5,13,7.2,70.3,SSW,8.9,39.6,1007.8,0.2,0
23.03.2023,19.4,1.8,10.8,5.9,73.2,SSE,8.3,32.4,1009.8,0,0
22.03.2023,11.6,-1.7,4.9,2.6,86.1,S,6.9,0,1015.8,0,0
21.03.2023,14.7,3.8,9.1,6.7,86.7,W,12.2,0,1015.1,2.6,0
20.03.2023,15.3,1.6,8.9,0.6,58.8,SW,5.6,32.4,1016.1,0,0
19.03.2023,15,2.6,8.4,-2.4,48,SE,10.5,0,1018.4,0,0
18.03.2023,11.9,-1,5.9,-4.7,47.4,SE,17.1,36,1021.9,0,0
17.03.2023,8.6,-4.5,1.9,-3.2,71.6,S,8.6,0,1024.9,0,0
16.03.2023,6.2,-3.8,1.7,-2.7,74,W,11.7,36,1018.4,0,0
15.03.2023,6.2,-3.8,1.7,-2.7,74,W,11.7,36,1018.4,0,0
14.03.2023,15.2,6.7,10.4,4.1,65.9,S,12,36,998,0.3,0
13.03.2023,11.6,-0.7,4.7,1.2,77.5,SSE,9.9,39.6,1008.3,1,0
12.03.2023,4.6,-1.1,0.9,-4,70.4,W,22.5,54,1007.9,0,0
11.03.2023,9,-0.2,4.7,2.4,86.9,W,17.6,57.6,991.4,0.3,0
10.03.2023,12.9,-1.1,3.2,0.9,85,SE,11.4,0,996.9,1.4,3
09.03.2023,1.4,-0.6,-0.1,-1.4,91,NE,14.9,43.2,998.4,2.4,3
08.03.2023,5.1,-0.2,2.2,-1.9,76.1,WSW,14.1,46.8,998.6,1,1
07.03.2023,5.2,-4.8,0.1,-2.3,84.9,S,9.3,0,1001.1,0.4,2
06.03.2023,0.5,-9,-2.9,-4.4,89.2,SSW,7.1,0,1005.4,1,0
05.03.2023,0.3,-3.5,-1.8,-7.3,67.3,WSW,12.9,0,1009.6,0.3,0
04.03.2023,3.5,-0.9,0.9,-2.3,79.8,W,24.2,50.4,1011.2,0.3,0
03.03.2023,0.4,-2.8,-1.3,-2.2,94.2,W,13.4,0,1019.7,0,0
02.03.2023,3.2,-2.7,0.9,-1.1,87.8,WNW,5.9,0,1025.1,0,0
01.03.2023,6.8,-5.4,0.3,-3.5,75.5,W,9.3,0,1028.7,0,0
28.02.2023,3,-6.6,-1.5,-7.5,65.2,S,4.5,0,1032,0,0
27.02.2023,1.2,-1.1,-0.1,-6.1,65.4,NNW,13.1,0,1024.9,0,0
26.02.2023,2.6,-1,0.5,-3.3,76.5,NW,17.6,0,1008.5,0.6,0
25.02.2023,4.3,1.5,2.9,1.6,91.1,WSW,10.2,25.2,993.4,4,0
24.02.2023,7.5,1.6,4.5,2.7,87.9,SW,8,36,1004.9,0,0
23.02.2023,5.3,-3.3,1,-4.2,68.6,ESE,14.3,0,1019.6,0,0
22.02.2023,6.5,0,2.4,-1.5,77.3,NNW,12.9,0,1017.5,0,0
21.02.2023,8.7,6.1,7,2.8,75.1,W,31.5,64.8,1004.9,4,0
20.02.2023,8.1,0.6,2.9,-0.7,76.9,WSW,21.2,61.2,1012.5,4,0
19.02.2023,5.9,2.1,3.2,-0.4,78.1,W,18.8,0,1011,0,0
18.02.2023,9.9,3.6,6.8,2.1,73.3,WSW,29.9,68.4,1006.9,2.9,0
17.02.2023,7.3,2.5,4.9,3.2,88.2,SW,10.5,68.4,1016.1,5.8,0
16.02.2023,7.4,-4.4,1.5,-0.4,87.9,SW,7.5,39.6,1023.7,0,0
15.02.2023,4,1.6,2.7,1.6,93.1,SW,8.6,0,1032.9,0,0
14.02.2023,5.3,2.7,4,1.8,85.8,W,19.5,0,1033.3,0,0
13.02.2023,6.1,0,4.3,2.7,88.6,W,17.1,36,1033.3,0.1,0
